work_id,unlocated_english_paragraphs,reader_url,reason
pg-2120,408,https://thefaithreceived.vercel.app/read?w=pg-2120,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2118,406,https://thefaithreceived.vercel.app/read?w=pg-2118,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-603,406,https://thefaithreceived.vercel.app/read?w=pg-603,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2557,397,https://thefaithreceived.vercel.app/read?w=pg-2557,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1845,396,https://thefaithreceived.vercel.app/read?w=pg-1845,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2164,393,https://thefaithreceived.vercel.app/read?w=pg-2164,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1668,382,https://thefaithreceived.vercel.app/read?w=pg-1668,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-4053,350,https://thefaithreceived.vercel.app/read?w=pg-4053,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2491,347,https://thefaithreceived.vercel.app/read?w=pg-2491,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3455,346,https://thefaithreceived.vercel.app/read?w=pg-3455,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1969,344,https://thefaithreceived.vercel.app/read?w=pg-1969,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2752,339,https://thefaithreceived.vercel.app/read?w=pg-2752,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-133,320,https://thefaithreceived.vercel.app/read?w=pg-133,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2074,313,https://thefaithreceived.vercel.app/read?w=pg-2074,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2734,312,https://thefaithreceived.vercel.app/read?w=pg-2734,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2181,308,https://thefaithreceived.vercel.app/read?w=pg-2181,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2648,305,https://thefaithreceived.vercel.app/read?w=pg-2648,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-16,302,https://thefaithreceived.vercel.app/read?w=pg-16,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-295,301,https://thefaithreceived.vercel.app/read?w=pg-295,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-250,299,https://thefaithreceived.vercel.app/read?w=pg-250,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2035,298,https://thefaithreceived.vercel.app/read?w=pg-2035,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-61,297,https://thefaithreceived.vercel.app/read?w=pg-61,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-272,296,https://thefaithreceived.vercel.app/read?w=pg-272,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2858,295,https://thefaithreceived.vercel.app/read?w=pg-2858,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2618,292,https://thefaithreceived.vercel.app/read?w=pg-2618,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2577,289,https://thefaithreceived.vercel.app/read?w=pg-2577,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2857,285,https://thefaithreceived.vercel.app/read?w=pg-2857,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-28,283,https://thefaithreceived.vercel.app/read?w=pg-28,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-35,271,https://thefaithreceived.vercel.app/read?w=pg-35,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2267,265,https://thefaithreceived.vercel.app/read?w=pg-2267,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1634,264,https://thefaithreceived.vercel.app/read?w=pg-1634,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-307,262,https://thefaithreceived.vercel.app/read?w=pg-307,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2724,261,https://thefaithreceived.vercel.app/read?w=pg-2724,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-156,252,https://thefaithreceived.vercel.app/read?w=pg-156,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-130,250,https://thefaithreceived.vercel.app/read?w=pg-130,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2589,247,https://thefaithreceived.vercel.app/read?w=pg-2589,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3665,244,https://thefaithreceived.vercel.app/read?w=pg-3665,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-518,244,https://thefaithreceived.vercel.app/read?w=pg-518,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1867,243,https://thefaithreceived.vercel.app/read?w=pg-1867,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-567,242,https://thefaithreceived.vercel.app/read?w=pg-567,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1972,241,https://thefaithreceived.vercel.app/read?w=pg-1972,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2009,236,https://thefaithreceived.vercel.app/read?w=pg-2009,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2161,234,https://thefaithreceived.vercel.app/read?w=pg-2161,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-479,233,https://thefaithreceived.vercel.app/read?w=pg-479,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3759,224,https://thefaithreceived.vercel.app/read?w=pg-3759,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-104,215,https://thefaithreceived.vercel.app/read?w=pg-104,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-475,215,https://thefaithreceived.vercel.app/read?w=pg-475,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-398,214,https://thefaithreceived.vercel.app/read?w=pg-398,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-649,214,https://thefaithreceived.vercel.app/read?w=pg-649,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3822,212,https://thefaithreceived.vercel.app/read?w=pg-3822,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-124,209,https://thefaithreceived.vercel.app/read?w=pg-124,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-419,208,https://thefaithreceived.vercel.app/read?w=pg-419,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3666,207,https://thefaithreceived.vercel.app/read?w=pg-3666,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-4,206,https://thefaithreceived.vercel.app/read?w=pg-4,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2189,201,https://thefaithreceived.vercel.app/read?w=pg-2189,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2843,200,https://thefaithreceived.vercel.app/read?w=pg-2843,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1970,199,https://thefaithreceived.vercel.app/read?w=pg-1970,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3854,199,https://thefaithreceived.vercel.app/read?w=pg-3854,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1556,198,https://thefaithreceived.vercel.app/read?w=pg-1556,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-566,198,https://thefaithreceived.vercel.app/read?w=pg-566,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3860,196,https://thefaithreceived.vercel.app/read?w=pg-3860,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2475,192,https://thefaithreceived.vercel.app/read?w=pg-2475,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-4013,190,https://thefaithreceived.vercel.app/read?w=pg-4013,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1734,189,https://thefaithreceived.vercel.app/read?w=pg-1734,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-466,189,https://thefaithreceived.vercel.app/read?w=pg-466,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2566,183,https://thefaithreceived.vercel.app/read?w=pg-2566,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1675,178,https://thefaithreceived.vercel.app/read?w=pg-1675,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2466,178,https://thefaithreceived.vercel.app/read?w=pg-2466,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2185,177,https://thefaithreceived.vercel.app/read?w=pg-2185,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-121,176,https://thefaithreceived.vercel.app/read?w=pg-121,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2130,174,https://thefaithreceived.vercel.app/read?w=pg-2130,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-551,174,https://thefaithreceived.vercel.app/read?w=pg-551,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2346,165,https://thefaithreceived.vercel.app/read?w=pg-2346,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1557,163,https://thefaithreceived.vercel.app/read?w=pg-1557,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1954,162,https://thefaithreceived.vercel.app/read?w=pg-1954,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2725,161,https://thefaithreceived.vercel.app/read?w=pg-2725,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-22,160,https://thefaithreceived.vercel.app/read?w=pg-22,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3986,159,https://thefaithreceived.vercel.app/read?w=pg-3986,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2269,158,https://thefaithreceived.vercel.app/read?w=pg-2269,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1877,155,https://thefaithreceived.vercel.app/read?w=pg-1877,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1946,155,https://thefaithreceived.vercel.app/read?w=pg-1946,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3518,154,https://thefaithreceived.vercel.app/read?w=pg-3518,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1868,148,https://thefaithreceived.vercel.app/read?w=pg-1868,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-120,147,https://thefaithreceived.vercel.app/read?w=pg-120,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-644,145,https://thefaithreceived.vercel.app/read?w=pg-644,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-642,143,https://thefaithreceived.vercel.app/read?w=pg-642,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1669,142,https://thefaithreceived.vercel.app/read?w=pg-1669,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3599,140,https://thefaithreceived.vercel.app/read?w=pg-3599,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2210,139,https://thefaithreceived.vercel.app/read?w=pg-2210,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2268,139,https://thefaithreceived.vercel.app/read?w=pg-2268,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3781,136,https://thefaithreceived.vercel.app/read?w=pg-3781,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2873,135,https://thefaithreceived.vercel.app/read?w=pg-2873,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2996,134,https://thefaithreceived.vercel.app/read?w=pg-2996,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-460,134,https://thefaithreceived.vercel.app/read?w=pg-460,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-132,133,https://thefaithreceived.vercel.app/read?w=pg-132,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2025,132,https://thefaithreceived.vercel.app/read?w=pg-2025,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2650,128,https://thefaithreceived.vercel.app/read?w=pg-2650,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-322,128,https://thefaithreceived.vercel.app/read?w=pg-322,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-463,128,https://thefaithreceived.vercel.app/read?w=pg-463,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1953,126,https://thefaithreceived.vercel.app/read?w=pg-1953,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2713,126,https://thefaithreceived.vercel.app/read?w=pg-2713,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1614,125,https://thefaithreceived.vercel.app/read?w=pg-1614,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2028,125,https://thefaithreceived.vercel.app/read?w=pg-2028,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3881,125,https://thefaithreceived.vercel.app/read?w=pg-3881,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-525,122,https://thefaithreceived.vercel.app/read?w=pg-525,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-110,120,https://thefaithreceived.vercel.app/read?w=pg-110,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2733,120,https://thefaithreceived.vercel.app/read?w=pg-2733,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-426,120,https://thefaithreceived.vercel.app/read?w=pg-426,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1846,119,https://thefaithreceived.vercel.app/read?w=pg-1846,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2981,118,https://thefaithreceived.vercel.app/read?w=pg-2981,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-524,118,https://thefaithreceived.vercel.app/read?w=pg-524,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-523,116,https://thefaithreceived.vercel.app/read?w=pg-523,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1911,115,https://thefaithreceived.vercel.app/read?w=pg-1911,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2588,115,https://thefaithreceived.vercel.app/read?w=pg-2588,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2071,114,https://thefaithreceived.vercel.app/read?w=pg-2071,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3815,113,https://thefaithreceived.vercel.app/read?w=pg-3815,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-428,113,https://thefaithreceived.vercel.app/read?w=pg-428,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-527,113,https://thefaithreceived.vercel.app/read?w=pg-527,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2119,111,https://thefaithreceived.vercel.app/read?w=pg-2119,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-423,111,https://thefaithreceived.vercel.app/read?w=pg-423,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3902,109,https://thefaithreceived.vercel.app/read?w=pg-3902,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-512,108,https://thefaithreceived.vercel.app/read?w=pg-512,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3698,107,https://thefaithreceived.vercel.app/read?w=pg-3698,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3905,106,https://thefaithreceived.vercel.app/read?w=pg-3905,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-392,106,https://thefaithreceived.vercel.app/read?w=pg-392,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1739,105,https://thefaithreceived.vercel.app/read?w=pg-1739,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-267,105,https://thefaithreceived.vercel.app/read?w=pg-267,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1939,104,https://thefaithreceived.vercel.app/read?w=pg-1939,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-10,103,https://thefaithreceived.vercel.app/read?w=pg-10,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1947,103,https://thefaithreceived.vercel.app/read?w=pg-1947,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2842,103,https://thefaithreceived.vercel.app/read?w=pg-2842,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-119,102,https://thefaithreceived.vercel.app/read?w=pg-119,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-78,102,https://thefaithreceived.vercel.app/read?w=pg-78,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2469,98,https://thefaithreceived.vercel.app/read?w=pg-2469,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2270,97,https://thefaithreceived.vercel.app/read?w=pg-2270,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3811,97,https://thefaithreceived.vercel.app/read?w=pg-3811,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-511,97,https://thefaithreceived.vercel.app/read?w=pg-511,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1653,96,https://thefaithreceived.vercel.app/read?w=pg-1653,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2227,96,https://thefaithreceived.vercel.app/read?w=pg-2227,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1982,95,https://thefaithreceived.vercel.app/read?w=pg-1982,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2673,95,https://thefaithreceived.vercel.app/read?w=pg-2673,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-154,94,https://thefaithreceived.vercel.app/read?w=pg-154,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-128,93,https://thefaithreceived.vercel.app/read?w=pg-128,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1909,93,https://thefaithreceived.vercel.app/read?w=pg-1909,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-355,93,https://thefaithreceived.vercel.app/read?w=pg-355,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1797,92,https://thefaithreceived.vercel.app/read?w=pg-1797,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2159,92,https://thefaithreceived.vercel.app/read?w=pg-2159,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2160,92,https://thefaithreceived.vercel.app/read?w=pg-2160,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2507,92,https://thefaithreceived.vercel.app/read?w=pg-2507,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2847,92,https://thefaithreceived.vercel.app/read?w=pg-2847,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-658,92,https://thefaithreceived.vercel.app/read?w=pg-658,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-155,89,https://thefaithreceived.vercel.app/read?w=pg-155,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-539,89,https://thefaithreceived.vercel.app/read?w=pg-539,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-82,89,https://thefaithreceived.vercel.app/read?w=pg-82,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-581,88,https://thefaithreceived.vercel.app/read?w=pg-581,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-171,87,https://thefaithreceived.vercel.app/read?w=pg-171,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2723,87,https://thefaithreceived.vercel.app/read?w=pg-2723,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2966,85,https://thefaithreceived.vercel.app/read?w=pg-2966,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-247,84,https://thefaithreceived.vercel.app/read?w=pg-247,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2546,84,https://thefaithreceived.vercel.app/read?w=pg-2546,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-308,84,https://thefaithreceived.vercel.app/read?w=pg-308,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3885,84,https://thefaithreceived.vercel.app/read?w=pg-3885,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-580,84,https://thefaithreceived.vercel.app/read?w=pg-580,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1651,83,https://thefaithreceived.vercel.app/read?w=pg-1651,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1927,82,https://thefaithreceived.vercel.app/read?w=pg-1927,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2083,82,https://thefaithreceived.vercel.app/read?w=pg-2083,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2149,81,https://thefaithreceived.vercel.app/read?w=pg-2149,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3519,80,https://thefaithreceived.vercel.app/read?w=pg-3519,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1924,79,https://thefaithreceived.vercel.app/read?w=pg-1924,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2240,79,https://thefaithreceived.vercel.app/read?w=pg-2240,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3923,79,https://thefaithreceived.vercel.app/read?w=pg-3923,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1906,78,https://thefaithreceived.vercel.app/read?w=pg-1906,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2777,78,https://thefaithreceived.vercel.app/read?w=pg-2777,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-100,77,https://thefaithreceived.vercel.app/read?w=pg-100,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-510,77,https://thefaithreceived.vercel.app/read?w=pg-510,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1843,76,https://thefaithreceived.vercel.app/read?w=pg-1843,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3866,76,https://thefaithreceived.vercel.app/read?w=pg-3866,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-662,76,https://thefaithreceived.vercel.app/read?w=pg-662,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1238,75,https://thefaithreceived.vercel.app/read?w=pg-1238,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2180,74,https://thefaithreceived.vercel.app/read?w=pg-2180,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-66,74,https://thefaithreceived.vercel.app/read?w=pg-66,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-270,73,https://thefaithreceived.vercel.app/read?w=pg-270,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-455,73,https://thefaithreceived.vercel.app/read?w=pg-455,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3969,72,https://thefaithreceived.vercel.app/read?w=pg-3969,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2871,70,https://thefaithreceived.vercel.app/read?w=pg-2871,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2894,69,https://thefaithreceived.vercel.app/read?w=pg-2894,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1586,67,https://thefaithreceived.vercel.app/read?w=pg-1586,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2375,66,https://thefaithreceived.vercel.app/read?w=pg-2375,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3998,66,https://thefaithreceived.vercel.app/read?w=pg-3998,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-514,66,https://thefaithreceived.vercel.app/read?w=pg-514,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-641,66,https://thefaithreceived.vercel.app/read?w=pg-641,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1723,65,https://thefaithreceived.vercel.app/read?w=pg-1723,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2436,65,https://thefaithreceived.vercel.app/read?w=pg-2436,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2569,65,https://thefaithreceived.vercel.app/read?w=pg-2569,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-4065,65,https://thefaithreceived.vercel.app/read?w=pg-4065,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-651,65,https://thefaithreceived.vercel.app/read?w=pg-651,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-9,65,https://thefaithreceived.vercel.app/read?w=pg-9,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-329,63,https://thefaithreceived.vercel.app/read?w=pg-329,Existing source anchors do not establish a unique opening; preserve text and do not guess.
